relative_us,key,report_id,sensor_value,travel_units,firmware_mm,calibration_status,payload_hex
5763025,A,0,472,208,2.08,255,a0 10 00 04 01 d8 00 d0 00 01 ff 00 06 09 01 55 27 c4 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5777027,A,0,550,226,2.26,255,a0 10 00 04 02 26 00 e2 08 01 ff 00 06 09 01 55 26 f0 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5790033,A,0,568,230,2.30,255,a0 10 00 04 02 38 00 e6 02 01 ff 00 06 09 01 55 26 bf 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5866083,A,0,521,220,2.20,255,a0 10 00 04 02 09 00 dc 0a ff ff 00 06 09 01 55 27 51 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5896030,A,0,444,202,2.02,255,a0 10 00 04 01 bc 00 ca 08 ff ff 00 06 09 01 55 28 10 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5911030,A,0,393,189,1.89,255,a0 10 00 04 01 89 00 bd 01 ff ff 00 06 09 01 55 28 98 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5926026,A,0,342,174,1.74,255,a0 10 00 04 01 56 00 ae 06 ff ff 00 06 09 01 55 29 24 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5940034,A,0,308,163,1.63,255,a0 10 00 04 01 34 00 a3 07 ff ff 00 06 09 01 55 29 80 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5955040,A,0,286,156,1.56,255,a0 10 00 04 01 1e 00 9c 04 ff ff 00 06 09 01 55 29 ba 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5970047,A,0,267,148,1.48,255,a0 10 00 04 01 0b 00 94 02 ff ff 00 06 09 01 55 29 ef 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
5985114,A,0,240,139,1.39,255,a0 10 00 04 00 f0 00 8b 01 ff ff 00 06 09 01 55 2a 36 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6000063,A,0,230,135,1.35,255,a0 10 00 04 00 e6 00 87 05 ff ff 00 06 09 01 55 2a 52 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
